valid_time,Temperature (K),Relative humidity (%)
2024-06-05 18:00:00,292.28168,0.7305361
2024-06-05 19:00:00,290.78522,0.83550936
2024-06-05 20:00:00,290.80328,0.7540792
2024-06-05 21:00:00,290.289,0.775211
2024-06-05 22:00:00,289.55774,0.80241245
2024-06-05 23:00:00,288.62427,0.8326522
2024-06-06 00:00:00,287.72437,0.85692126
2024-06-06 01:00:00,286.857,0.8774959
2024-06-06 02:00:00,285.99365,0.89806974
2024-06-06 03:00:00,285.31512,0.91229856
2024-06-06 04:00:00,284.90814,0.92197305
2024-06-06 05:00:00,286.04016,0.9211499
2024-06-06 06:00:00,290.12158,0.8151183
2024-06-06 07:00:00,292.72632,0.57972604
2024-06-06 08:00:00,293.9265,0.5066406
2024-06-06 09:00:00,294.7987,0.47253454
2024-06-06 10:00:00,295.5979,0.45151502
2024-06-06 11:00:00,296.22302,0.44297838
2024-06-06 12:00:00,296.56567,0.4422837
2024-06-06 13:00:00,296.80017,0.4446035
2024-06-06 14:00:00,296.75977,0.45454255
2024-06-06 15:00:00,296.5409,0.47012064
2024-06-06 16:00:00,296.02722,0.5002574
2024-06-06 17:00:00,295.0526,0.57982725
2024-06-06 18:00:00,293.7563,0.6606061
2024-06-06 19:00:00,291.87823,0.78481555
2024-06-06 20:00:00,292.2129,0.6608541
2024-06-06 21:00:00,291.7047,0.6739564
2024-06-06 22:00:00,290.82104,0.70587224
2024-06-06 23:00:00,289.27075,0.7673611
2024-06-07 00:00:00,288.34222,0.7963877
2024-06-07 01:00:00,287.77307,0.80926126
2024-06-07 02:00:00,287.35638,0.81020147
2024-06-07 03:00:00,287.0021,0.80890757
2024-06-07 04:00:00,286.3964,0.8264067
2024-06-07 05:00:00,286.87604,0.86787146
2024-06-07 06:00:00,290.94775,0.76891017
2024-06-07 07:00:00,293.44507,0.57109445
2024-06-07 08:00:00,294.84583,0.48562545
2024-06-07 09:00:00,296.03394,0.4559231
2024-06-07 10:00:00,297.02673,0.44886205
2024-06-07 11:00:00,297.75806,0.45112616
2024-06-07 12:00:00,298.32263,0.45421565
2024-06-07 13:00:00,298.69067,0.45446575
2024-06-07 14:00:00,298.7956,0.45775756
2024-06-07 15:00:00,298.57904,0.46780255
2024-06-07 16:00:00,297.86664,0.5012341
2024-06-07 17:00:00,296.74835,0.5783812
2024-06-07 18:00:00,295.44843,0.6661124
2024-06-07 19:00:00,294.52142,0.6446545
2024-06-07 20:00:00,294.1466,0.62929845
2024-06-07 21:00:00,293.61084,0.64313376
2024-06-07 22:00:00,292.20428,0.70292825
2024-06-07 23:00:00,292.02164,0.6914055
2024-06-08 00:00:00,291.6922,0.6807122
2024-06-08 01:00:00,290.73508,0.70453477
2024-06-08 02:00:00,289.91833,0.7262163
2024-06-08 03:00:00,289.17554,0.7475636
2024-06-08 04:00:00,288.47833,0.7728019
2024-06-08 05:00:00,289.03525,0.8119369
2024-06-08 06:00:00,292.89935,0.75111675
2024-06-08 07:00:00,295.35986,0.519511
2024-06-08 08:00:00,296.7367,0.46542096
2024-06-08 09:00:00,297.76086,0.44403866
2024-06-08 10:00:00,298.7091,0.42711824
2024-06-08 11:00:00,299.54492,0.41027176
2024-06-08 12:00:00,300.18616,0.39887595
2024-06-08 13:00:00,300.33228,0.40041825
2024-06-08 14:00:00,300.13574,0.4079541
2024-06-08 15:00:00,299.77795,0.4221193
2024-06-08 16:00:00,299.32507,0.44254094
2024-06-08 17:00:00,298.1438,0.5412741
2024-06-08 18:00:00,296.75812,0.6408096
2024-06-08 19:00:00,294.90607,0.7112233
2024-06-08 20:00:00,294.58722,0.6583062
2024-06-08 21:00:00,293.00696,0.7382357
2024-06-08 22:00:00,291.68604,0.7925537
2024-06-08 23:00:00,290.91272,0.8195231
2024-06-09 00:00:00,290.3371,0.8339352
2024-06-09 01:00:00,289.76367,0.84737843
2024-06-09 02:00:00,289.55115,0.8489451
2024-06-09 03:00:00,289.47058,0.83962506
2024-06-09 04:00:00,289.58234,0.8213454
2024-06-09 05:00:00,290.36774,0.8123725
2024-06-09 06:00:00,292.354,0.7717606
2024-06-09 07:00:00,293.52393,0.73539215
2024-06-09 08:00:00,295.9406,0.621221
2024-06-09 09:00:00,298.19458,0.48894766
2024-06-09 10:00:00,300.23822,0.39876378
2024-06-09 11:00:00,300.38513,0.3951781
2024-06-09 12:00:00,299.61115,0.42102084
2024-06-09 13:00:00,299.34888,0.41938624
2024-06-09 14:00:00,299.4037,0.39866495
2024-06-09 15:00:00,299.18835,0.39073023
2024-06-09 16:00:00,297.93195,0.41615066
2024-06-09 17:00:00,296.7354,0.4634881
2024-06-09 18:00:00,295.4491,0.4968025
2024-06-09 19:00:00,293.67468,0.5436909
2024-06-09 20:00:00,292.6634,0.5881612
2024-06-09 21:00:00,291.67896,0.62191653
2024-06-09 22:00:00,291.1767,0.6400072
2024-06-09 23:00:00,290.00018,0.7259142
2024-06-10 00:00:00,288.90063,0.8128051
2024-06-10 01:00:00,288.18933,0.8635353
2024-06-10 02:00:00,287.9784,0.89380544
2024-06-10 03:00:00,287.6969,0.91381246
2024-06-10 04:00:00,287.58813,0.9206798
2024-06-10 05:00:00,288.5664,0.9307269
2024-06-10 06:00:00,290.8322,0.8027143
2024-06-10 07:00:00,291.28296,0.7887701
2024-06-10 08:00:00,292.07727,0.7216678
